dt,num_mentions
"2016-7-22","67"
"2016-2-14","65"
"2018-2-26","131"
"2009-8-26","7"
"2016-4-2","68"
"2010-4-14","17"
"2018-8-25","73"
"2012-3-11","17"
"2016-3-22","100"
"2014-7-4","40"
"2011-9-22","27"
"2010-8-2","22"
"2010-1-3","8"
"2018-7-15","70"
"2012-11-20","63"
"2009-1-30","4"
"2016-5-31","86"
"2014-2-5","79"
"2010-3-15","9"
"2010-9-14","12"
"2010-5-13","12"
"2012-1-24","33"
"2017-10-22","77"
"2015-4-17","81"
"2011-5-26","27"
"2016-6-4","48"
"2015-11-5","93"
"2019-1-22","128"
"2018-11-22","119"
"2019-4-19","96"
"2011-9-3","5"
"2019-6-3","111"
"2012-12-28","29"
"2014-8-12","66"
"2013-1-17","46"
"2011-12-11","22"
"2015-12-17","62"
"2012-7-25","45"
"2018-2-2","81"
"2010-6-6","14"
"2016-7-12","87"
"2011-3-2","25"
"2019-1-10","123"
"2013-2-12","47"
"2017-9-3","60"
"2010-8-29","12"
"2014-4-15","81"
"2014-6-21","27"
"2014-11-15","48"
"2014-12-31","48"
"2014-9-30","45"
"2018-5-29","131"
"2013-7-13","40"
"2015-5-11","67"
"2013-11-11","65"
"2009-1-3","1"
"2008-11-27","1"
"2017-2-24","104"
"2014-5-29","78"
"2014-5-7","70"
"2016-3-9","114"
"2011-2-8","27"
"2013-5-12","31"
"2014-12-6","39"
"2011-4-27","27"
"2012-8-7","44"
"2017-7-13","106"
"2011-9-12","27"
"2011-6-22","23"
"2012-5-7","44"
"2012-2-22","31"
"2017-5-8","93"
"2013-1-8","48"
"2012-6-28","50"
"2010-12-17","12"
"2009-12-11","5"
"2013-10-31","75"
"2011-6-6","40"
"2013-6-18","71"
"2016-4-13","92"
"2011-6-3","34"
"2008-9-18","7"
"2013-6-15","31"
"2011-4-15","23"
"2012-5-3","35"
"2009-10-5","8"
"2014-6-4","65"
"2019-8-3","68"
"2016-3-13","70"
"2019-7-9","158"
"2013-4-19","45"
"2015-4-29","98"
"2011-2-25","30"
"2016-5-3","98"
"2018-10-12","124"
"2013-9-11","53"
"2011-3-26","11"
"2011-8-5","27"
"2010-8-20","17"
"2013-3-7","66"
"2013-7-31","66"
"2010-9-1","17"
"2016-3-27","65"
"2012-7-7","18"
"2010-10-19","22"
"2012-2-27","30"
"2010-1-21","12"
"2018-5-20","57"
"2012-3-26","33"
"2017-3-26","82"
"2010-4-29","17"
"2012-7-11","49"
"2014-1-7","77"
"2015-12-14","87"
"2017-6-22","143"
"2018-5-25","114"
"2017-4-26","113"
"2011-7-7","23"
"2014-1-15","72"
"2010-12-11","13"
"2010-9-4","13"
"2012-12-3","41"
"2014-3-20","88"
"2015-3-19","76"
"2011-8-1","21"
"2013-7-26","62"
"2010-5-1","4"
"2019-5-23","110"
"2011-1-6","20"
"2014-11-23","41"
"2009-1-25","3"
"2010-11-22","20"
"2010-3-27","6"
"2014-3-10","76"
"2013-12-14","45"
"2013-7-9","66"
"2017-6-21","128"
"2011-7-21","28"
"2017-10-13","114"
"2010-8-12","25"
"2009-4-27","7"
"2017-12-3","93"
"2016-11-26","53"
"2016-8-12","99"
"2016-8-4","92"
"2009-1-16","2"
"2012-4-15","23"
"2010-1-1","4"
"2018-11-17","60"
"2012-1-2","23"
"2018-2-14","125"
"2016-11-30","94"
"2009-1-17","3"
"2016-9-4","54"
"2017-8-22","95"
"2008-10-15","6"
"2011-11-7","21"
"2011-2-24","26"
"2009-2-25","2"
"2011-4-20","20"
"2013-9-10","74"
"2010-11-29","19"
"2016-9-6","91"
"2014-4-24","68"
"2019-4-5","103"
"2010-2-8","7"
"2015-2-23","68"
"2014-5-21","77"
"2015-5-19","85"
"2012-10-23","52"
"2017-5-26","100"
"2013-8-24","29"
"2017-12-15","75"
"2011-9-21","25"
"2019-3-13","157"
"2013-11-3","51"
"2008-12-2","2"
"2010-6-15","14"
"2012-4-13","28"
"2017-3-10","102"
"2018-1-16","111"
"2016-1-20","104"
"2012-7-13","44"
"2016-8-30","80"
"2018-2-20","104"
"2015-10-15","94"
"2018-10-29","135"
"2009-7-25","4"
"2010-10-28","28"
"2009-7-14","5"
"2009-12-3","13"
"2019-8-12","123"
"2018-1-5","97"
"2015-11-6","83"
"2009-3-29","3"
"2016-7-24","53"
"2013-1-5","26"
"2018-5-18","100"
"2017-10-24","124"
"2010-4-4","7"
"2017-7-23","70"
"2010-6-18","12"
"2013-8-3","28"
"2013-10-15","64"
"2009-11-30","7"
"2009-1-1","1"
"2013-4-27","36"
"2012-12-26","32"
"2013-2-15","47"
"2010-5-2","9"
"2017-4-23","69"
"2013-1-11","41"
"2013-7-10","60"
"2014-11-24","60"
"2009-8-9","2"
"2014-4-7","78"
"2019-6-28","113"
"2014-11-18","68"
"2015-12-20","60"
"2018-2-7","123"
"2015-9-29","99"
"2019-7-25","142"
"2019-8-17","90"
"2018-3-3","76"
"2013-5-2","61"
"2018-12-19","130"
"2012-5-2","30"
"2012-1-3","32"
"2018-3-18","63"
"2017-12-20","110"
"2009-9-1","7"
"2010-11-2","21"
"2010-1-28","7"
"2016-5-19","99"
"2014-5-26","62"
"2018-10-20","77"
"2010-5-21","16"
"2014-10-17","63"
"2009-9-18","6"
"2015-6-17","87"
"2014-1-5","38"
"2014-6-17","59"
"2017-7-15","60"
"2011-3-7","35"
"2008-11-17","9"
"2011-8-8","22"
"2013-11-4","65"
"2017-7-6","111"
"2009-5-11","5"
"2014-12-20","33"
"2012-10-9","48"
"2019-4-24","140"
"2017-8-9","148"
"2013-1-22","65"
"2011-11-20","19"
"2012-10-24","48"
"2009-4-18","4"
"2011-3-10","31"
"2009-12-23","12"
"2011-8-26","21"
"2015-6-5","70"
"2017-10-3","133"
"2013-3-23","35"
"2012-8-11","17"
"2017-5-27","63"
"2018-8-3","98"
"2012-7-23","53"
"2015-6-6","54"
"2019-6-10","107"
"2014-10-28","66"
"2012-6-14","39"
"2010-4-8","19"
"2019-2-9","65"
"2011-9-5","22"
"2012-9-10","41"
"2017-10-31","112"
"2014-12-21","29"
"2008-11-7","1"
"2013-4-21","38"
"2009-9-11","8"
"2010-7-12","16"
"2015-8-14","75"
"2018-7-14","54"
"2018-3-10","81"
"2012-4-6","41"
"2019-8-9","127"
"2010-3-5","10"
"2010-4-20","14"
"2016-8-21","46"
"2016-6-13","101"
"2016-7-25","105"
"2019-3-31","68"
"2015-4-14","97"
"2016-1-15","75"
"2009-7-24","5"
"2015-2-16","74"
"2015-5-8","79"
"2009-8-15","3"
"2016-1-31","45"
"2008-12-9","5"
"2013-9-18","64"
"2013-8-21","68"
"2011-4-28","16"
"2010-4-3","9"
"2018-5-10","115"
"2018-3-20","138"
"2017-6-15","136"
"2012-5-26","20"
"2018-10-27","77"
"2012-10-19","39"
"2019-6-26","169"
"2009-8-14","8"
"2015-12-21","64"
"2017-9-8","118"
"2010-6-7","16"
"2009-5-6","1"
"2016-10-22","48"
"2009-10-2","5"
"2018-5-26","68"
"2016-4-29","110"
"2012-11-3","24"
"2015-3-6","80"
"2015-9-18","76"
"2018-7-3","127"
"2016-12-4","63"
"2010-9-26","6"
"2017-8-7","105"
"2010-10-10","14"
"2011-6-18","16"
"2010-5-20","15"
"2011-5-28","18"
"2009-12-21","13"
"2011-7-13","34"
"2012-1-15","24"
"2016-7-7","97"
"2013-11-29","62"
"2018-1-31","130"
"2015-7-27","105"
"2011-9-28","18"
"2018-4-30","104"
"2019-4-6","78"
"2015-1-3","31"
"2013-2-6","75"
"2013-3-30","26"
"2010-3-21","9"
"2011-4-21","21"
"2012-11-15","51"
"2016-12-15","108"
"2014-7-26","36"
"2015-2-4","81"
"2016-10-31","81"
"2016-1-18","84"
"2014-3-4","79"
"2008-12-3","6"
"2019-6-15","70"
"2012-6-11","36"
"2015-8-20","79"
"2018-2-19","112"
"2016-11-11","93"
"2008-11-21","1"
"2018-1-4","90"
"2016-3-16","89"
"2011-10-24","26"
"2009-9-9","6"
"2008-8-29","2"
"2012-7-14","28"
"2010-11-15","17"
"2010-12-9","15"
"2014-9-3","65"
"2013-12-17","75"
"2010-11-10","19"
