dt,num_mentions
"2015-5","2072"
"2012-8","1217"
"2014-9","1696"
"2011-5","737"
"2018-11","3517"
"2019-8","2930"
"2017-11","3211"
"2013-12","1695"
"2014-10","1839"
"2018-2","3004"
"2013-5","1564"
"2013-11","1901"
"2016-12","2397"
"2016-2","2455"
"2016-1","2214"
"2018-5","3251"
"2017-6","3059"
"2018-3","3071"
"2010-3","361"
"2012-1","798"
"2014-11","1821"
"2017-7","3176"
"2012-7","1233"
"2012-12","1163"
"2009-1","89"
"2019-3","3959"
"2010-5","370"
"2017-3","3180"
"2015-8","2118"
"2015-12","2146"
"2010-7","514"
"2019-5","3313"
"2017-4","2891"
"2012-4","1018"
"2008-9","68"
"2018-4","3060"
"2013-6","1631"
"2014-1","1943"
"2010-6","409"
"2019-4","3449"
"2015-1","1778"
"2011-1","559"
"2012-2","851"
"2014-2","1951"
"2013-8","1531"
"2017-1","2467"
"2014-8","1675"
"2016-6","2462"
"2010-11","520"
"2011-11","768"
"2009-4","121"
"2009-12","291"
"2017-5","2978"
"2008-12","74"
"2011-12","752"
"2014-12","1677"
"2017-8","3002"
"2014-4","2083"
"2011-10","703"
"2018-8","3274"
"2010-1","327"
"2017-12","2641"
"2013-3","1621"
"2015-2","2016"
"2012-6","1108"
"2010-8","502"
"2018-1","2843"
"2012-5","1035"
"2009-3","131"
"2015-3","2328"
"2011-2","603"
"2008-10","88"
"2019-2","3392"
"2011-8","787"
"2016-3","2740"
"2013-2","1391"
"2019-7","3723"
"2019-1","3188"
"2010-9","441"
"2011-3","784"
"2010-2","309"
"2013-4","1670"
"2008-11","71"
"2016-11","2671"
"2016-4","2676"
"2009-5","182"
"2014-6","1614"
"2009-6","193"
"2014-7","1864"
"2015-4","2166"
"2010-12","455"
"2016-10","2443"
"2015-11","2269"
"2015-6","2180"
"2015-7","2330"
"2008-8","10"
"2011-4","686"
"2018-7","3222"
"2009-7","188"
"2012-3","989"
"2013-7","1797"
"2015-10","2383"
"2017-9","2885"
"2016-7","2361"
"2009-2","111"
"2017-10","3215"
"2012-9","1079"
"2018-12","3089"
"2009-11","251"
"2016-9","2239"
"2018-9","3239"
"2009-10","223"
"2015-9","2099"
"2018-10","3492"
"2011-7","726"
"2009-9","227"
"2017-2","2690"
"2010-10","558"
"2011-6","681"
"2016-8","2341"
"2014-3","2265"
"2016-5","2491"
"2014-5","1759"
"2013-9","1599"
"2010-4","360"
"2009-8","209"
"2018-6","3052"
"2012-10","1264"
"2019-6","3215"
"2011-9","687"
"2013-1","1332"
"2013-10","1851"
"2012-11","1293"
