dt,num_mentions
"2012-12","1506"
"2009-1","104"
"2019-3","1230"
"2010-5","503"
"2017-3","1691"
"2015-8","1642"
"2015-12","1569"
"2010-7","600"
"2019-5","1170"
"2017-4","1582"
"2012-4","1349"
"2008-9","66"
"2018-4","1287"
"2013-6","1835"
"2014-1","2076"
"2010-6","526"
"2019-4","1139"
"2015-1","1561"
"2011-1","808"
"2012-2","1391"
"2014-2","1994"
"2013-8","1887"
"2017-1","1475"
"2014-8","1503"
"2016-6","1580"
"2010-11","689"
"2011-11","1174"
"2015-5","1802"
"2012-8","1672"
"2014-9","1501"
"2011-5","1152"
"2018-11","1268"
"2019-8","935"
"2017-11","1362"
"2013-12","1745"
"2014-10","1541"
"2018-2","1188"
"2013-5","1876"
"2013-11","1887"
"2016-12","1346"
"2016-2","1677"
"2016-1","1603"
"2018-5","1345"
"2017-6","1471"
"2018-3","1417"
"2010-3","470"
"2012-1","1310"
"2014-11","1584"
"2017-7","1541"
"2012-7","1625"
"2018-10","1302"
"2011-7","1142"
"2009-9","290"
"2017-2","1484"
"2010-10","619"
"2011-6","1083"
"2016-8","1622"
"2014-3","2160"
"2016-5","1677"
"2014-5","1731"
"2013-9","1866"
"2010-4","482"
"2009-8","307"
"2018-6","1230"
"2012-10","1635"
"2019-6","1005"
"2011-9","1111"
"2013-1","1784"
"2013-10","2050"
"2012-11","1579"
"2008-10","70"
"2019-2","1199"
"2011-8","1277"
"2016-3","1790"
"2013-2","1733"
"2019-7","1166"
"2019-1","1071"
"2010-9","663"
"2011-3","1002"
"2010-2","415"
"2013-4","1901"
"2008-11","67"
"2016-11","1401"
"2016-4","1660"
"2009-5","237"
"2014-6","1542"
"2009-6","225"
"2014-7","1684"
"2015-4","1630"
"2009-4","165"
"2009-12","367"
"2017-5","1614"
"2008-12","81"
"2011-12","1075"
"2014-12","1469"
"2017-8","1461"
"2014-4","2040"
"2011-10","1087"
"2018-8","1236"
"2010-1","415"
"2017-12","1079"
"2013-3","1894"
"2015-2","1614"
"2012-6","1519"
"2010-8","578"
"2018-1","1207"
"2012-5","1512"
"2009-3","160"
"2015-3","1784"
"2011-2","878"
"2010-12","756"
"2016-10","1428"
"2015-11","1682"
"2015-6","1740"
"2015-7","1880"
"2008-8","12"
"2011-4","1014"
"2018-7","1144"
"2009-7","270"
"2012-3","1527"
"2013-7","2055"
"2015-10","1603"
"2017-9","1285"
"2016-7","1592"
"2009-2","146"
"2017-10","1347"
"2012-9","1525"
"2018-12","1051"
"2009-11","340"
"2016-9","1442"
"2018-9","1150"
"2009-10","341"
"2015-9","1552"
